Contaminated obs = 2.0, penalty parameter = 0.00814700934898478
Contaminated obs = 6.0, penalty parameter = 0.0027025927170120194
Contaminated obs = 10.0, penalty parameter = 0.0017163920738427233
Contaminated obs = 14.0, penalty parameter = 0.0013261428647869914
Contaminated obs = 18.0, penalty parameter = 0.0011131346258709727
Contaminated obs = 22.0, penalty parameter = 0.0010216178325865373
Contaminated obs = 26.0, penalty parameter = 0.001042721642152233
Contaminated obs = 30.0, penalty parameter = 0.0011063612829187229
Contaminated obs = 34.0, penalty parameter = 0.0010447123737568785
Contaminated obs = 38.0, penalty parameter = 0.000844473260483459
Contaminated obs = 42.0, penalty parameter = 0.0007095623960189382
Contaminated obs = 46.0, penalty parameter = 0.0008039229874891976
Contaminated obs = 50.0, penalty parameter = 0.00092444882195283
Contaminated obs = 54.0, penalty parameter = 0.0007892764479168178
Contaminated obs = 58.0, penalty parameter = 0.0007617082882334007
Contaminated obs = 62.0, penalty parameter = 0.0008916489565466146
Contaminated obs = 66.0, penalty parameter = 0.0008035550649677469
Contaminated obs = 70.0, penalty parameter = 0.0008085671016062567
Contaminated obs = 74.0, penalty parameter = 0.0008479919074392225
Contaminated obs = 78.0, penalty parameter = 0.0008323519514768046
Contaminated obs = 82.0, penalty parameter = 0.0007866613496779499
Contaminated obs = 86.0, penalty parameter = 0.0007983304279746175
Contaminated obs = 90.0, penalty parameter = 0.0008654430531977074
Contaminated obs = 94.0, penalty parameter = 0.0008377353242041208
Contaminated obs = 98.0, penalty parameter = 0.0008658723420556831
Contaminated obs = 102.0, penalty parameter = 0.0010425625475946082
Contaminated obs = 106.0, penalty parameter = 0.0011305949374323366
Contaminated obs = 110.0, penalty parameter = 0.0012017962236897787
Contaminated obs = 114.0, penalty parameter = 0.0011699063173680362
Contaminated obs = 118.0, penalty parameter = 0.0011502142992012375
Contaminated obs = 122.0, penalty parameter = 0.0010647080738411553
Contaminated obs = 126.0, penalty parameter = 0.0009973583835825057
Contaminated obs = 130.0, penalty parameter = 0.0009563734715852271
Contaminated obs = 134.0, penalty parameter = 0.0008610304603656965
Contaminated obs = 138.0, penalty parameter = 0.0008247033967433122
Contaminated obs = 142.0, penalty parameter = 0.0008592258403508918
Contaminated obs = 146.0, penalty parameter = 0.0008409371339393965
Contaminated obs = 150.0, penalty parameter = 0.0008571306796240218
Contaminated obs = 154.0, penalty parameter = 0.0008526954107122181
Contaminated obs = 158.0, penalty parameter = 0.0008464083200412113
Contaminated obs = 162.0, penalty parameter = 0.0008435073903129203
Contaminated obs = 166.0, penalty parameter = 0.0008439901872293572
Contaminated obs = 170.0, penalty parameter = 0.0008418358315741848
Contaminated obs = 174.0, penalty parameter = 0.0008479272132589293
Contaminated obs = 178.0, penalty parameter = 0.0008404240232506167
Contaminated obs = 182.0, penalty parameter = 0.0008483154523876585
Contaminated obs = 186.0, penalty parameter = 0.0008396869750922957
Contaminated obs = 190.0, penalty parameter = 0.0008511355073534343
Contaminated obs = 194.0, penalty parameter = 0.000837863162223162
Contaminated obs = 198.0, penalty parameter = 0.0008545841087509657
Contaminated obs = 202.0, penalty parameter = 0.0008561176735518036
Contaminated obs = 206.0, penalty parameter = 0.0008468927773579526
Contaminated obs = 210.0, penalty parameter = 0.0008642434206984579
Contaminated obs = 214.0, penalty parameter = 0.0008712730720017129
Contaminated obs = 218.0, penalty parameter = 0.000836585659402773
Contaminated obs = 222.0, penalty parameter = 0.0008644202230868626
Contaminated obs = 226.0, penalty parameter = 0.0008549101689043405
Contaminated obs = 230.0, penalty parameter = 0.0008466020697034985
Contaminated obs = 234.0, penalty parameter = 0.0009097555738237408
Contaminated obs = 238.0, penalty parameter = 0.0008429283985563484
Contaminated obs = 242.0, penalty parameter = 0.0008247663190194261
Contaminated obs = 246.0, penalty parameter = 0.0008524027112236414
Contaminated obs = 250.0, penalty parameter = 0.0008613918389403415
Contaminated obs = 254.0, penalty parameter = 0.0008604722643876238
Contaminated obs = 258.0, penalty parameter = 0.000850324188208896
Contaminated obs = 262.0, penalty parameter = 0.0008581448843413959
Contaminated obs = 266.0, penalty parameter = 0.0008585378018194652
Contaminated obs = 270.0, penalty parameter = 0.0008412258963586008
Contaminated obs = 274.0, penalty parameter = 0.0008437970353111171
Contaminated obs = 278.0, penalty parameter = 0.0008556605794551908
Contaminated obs = 282.0, penalty parameter = 0.000851882604637047
Contaminated obs = 286.0, penalty parameter = 0.0008548449469227197
Contaminated obs = 290.0, penalty parameter = 0.0008571960759998608
Contaminated obs = 294.0, penalty parameter = 0.0008571306796240218
Contaminated obs = 298.0, penalty parameter = 0.000856803772574573
Contaminated obs = 302.0, penalty parameter = 0.0008568691440084319
Contaminated obs = 306.0, penalty parameter = 0.0009333072259592128
Contaminated obs = 310.0, penalty parameter = 0.0008622795022493995
Contaminated obs = 314.0, penalty parameter = 0.0009069488542041505
Contaminated obs = 318.0, penalty parameter = 0.0008569488542041505
Contaminated obs = 322.0, penalty parameter = 0.0008550080112073254
Contaminated obs = 326.0, penalty parameter = 0.0008473128646552929
Contaminated obs = 330.0, penalty parameter = 0.0008439579921728387
Contaminated obs = 334.0, penalty parameter = 0.0008255847456124996
Contaminated obs = 338.0, penalty parameter = 0.0008519151019993065
Contaminated obs = 342.0, penalty parameter = 0.0008554647567018162
Contaminated obs = 346.0, penalty parameter = 0.000853671801756589
Contaminated obs = 350.0, penalty parameter = 0.0008392386535926063
Contaminated obs = 354.0, penalty parameter = 0.0008557911528598077
Contaminated obs = 358.0, penalty parameter = 0.0008671945669188997
Contaminated obs = 362.0, penalty parameter = 0.0008489305279227497
Contaminated obs = 366.0, penalty parameter = 0.0008592586178407062
