,bw,loglambda,contam_data,SM_IFsupnorm
0,5.0,-10.0,2.0,110.7907626719707
1,5.0,-10.0,6.0,113.01954458493897
2,5.0,-10.0,10.0,103.62890123972733
3,5.0,-10.0,14.0,77.62491006332881
4,5.0,-10.0,18.0,66.13279536589216
5,5.0,-10.0,22.0,54.24293861700781
6,5.0,-10.0,26.0,50.52109282054267
7,5.0,-10.0,30.0,43.47185081861706
8,5.0,-10.0,34.0,39.020735388055115
9,5.0,-10.0,38.0,40.0864421701589
10,5.0,-10.0,42.0,35.01072560015316
11,5.0,-10.0,46.0,18.95584284230281
12,5.0,-10.0,50.0,5.58625107473466
13,5.0,-10.0,54.0,5.8387058459305115
14,5.0,-10.0,58.0,8.607757345123302
15,5.0,-10.0,62.0,11.176114888054379
16,5.0,-10.0,66.0,10.126136664916762
17,5.0,-10.0,70.0,10.04610690991895
18,5.0,-10.0,74.0,6.918860684416197
19,5.0,-10.0,78.0,4.038248172673297
20,5.0,-10.0,82.0,3.8192959441427865
21,5.0,-10.0,86.0,5.489953250185097
22,5.0,-10.0,90.0,7.9744635417504375
23,5.0,-10.0,94.0,16.553981836125143
24,5.0,-10.0,98.0,26.38733213733899
25,5.0,-10.0,102.0,32.89280504046317
26,5.0,-10.0,106.0,35.945151933857865
27,5.0,-10.0,110.0,33.613499864432896
28,5.0,-10.0,114.0,33.762546869694994
29,5.0,-10.0,118.0,32.04880055604226
30,5.0,-10.0,122.0,33.89950037886602
31,5.0,-10.0,126.0,33.033886929918275
32,5.0,-10.0,130.0,33.589835147156975
33,5.0,-10.0,134.0,36.89450552656908
34,5.0,-10.0,138.0,33.23284617860512
35,5.0,-10.0,142.0,35.39013914752399
36,5.0,-10.0,146.0,33.88487661363193
37,5.0,-10.0,150.0,34.33903827276284
38,5.0,-10.0,154.0,36.212159323566944
39,5.0,-10.0,158.0,33.07321887275825
40,5.0,-10.0,162.0,36.30066980720237
41,5.0,-10.0,166.0,34.51379440623084
42,5.0,-10.0,170.0,34.0202123102843
43,5.0,-10.0,174.0,33.41702942515736
44,5.0,-10.0,178.0,37.377565359015776
45,5.0,-10.0,182.0,34.281384887866004
46,5.0,-10.0,186.0,35.21019146595946
47,5.0,-10.0,190.0,35.83336882693629
48,5.0,-10.0,194.0,33.55927941581103
49,5.0,-10.0,198.0,35.11643081281337
50,5.0,-10.0,202.0,37.445550582133734
51,5.0,-10.0,206.0,34.569649061813834
52,5.0,-10.0,210.0,34.284187946440866
53,5.0,-10.0,214.0,34.74239320189262
54,5.0,-10.0,218.0,34.3732241610502
55,5.0,-10.0,222.0,34.57194106913782
56,5.0,-10.0,226.0,35.84872613164221
57,5.0,-10.0,230.0,34.97889837986929
58,5.0,-10.0,234.0,38.38856690089745
59,5.0,-10.0,238.0,34.94706956258267
60,5.0,-10.0,242.0,36.09260228095642
61,5.0,-10.0,246.0,35.717605728271515
62,5.0,-10.0,250.0,34.59955568651084
63,5.0,-10.0,254.0,39.23836050687078
64,5.0,-10.0,258.0,34.751637280721525
65,5.0,-10.0,262.0,34.72355806674403
66,5.0,-10.0,266.0,35.701878281765296
67,5.0,-10.0,270.0,37.90588147026435
68,5.0,-10.0,274.0,33.68613677131288
69,5.0,-10.0,278.0,35.23465839149509
70,5.0,-10.0,282.0,37.09176676083028
71,5.0,-10.0,286.0,35.68305054045245
72,5.0,-10.0,290.0,36.41865701286926
73,5.0,-10.0,294.0,36.61504355901989
74,5.0,-10.0,298.0,35.55264411779899
75,5.0,-10.0,302.0,37.59794204389916
76,5.0,-10.0,306.0,34.43931675454478
77,5.0,-10.0,310.0,37.3738091864229
78,5.0,-10.0,314.0,37.77585182339503
79,5.0,-10.0,318.0,33.37966388443695
80,5.0,-10.0,322.0,35.97852866455132
81,5.0,-10.0,326.0,37.983202196129895
82,5.0,-10.0,330.0,37.9627824059033
83,5.0,-10.0,334.0,37.76611540002129
84,5.0,-10.0,338.0,36.29387293798923
85,5.0,-10.0,342.0,36.46899691295674
86,5.0,-10.0,346.0,37.991573635128006
87,5.0,-10.0,350.0,36.45782300376143
88,5.0,-10.0,354.0,35.916115691662334
89,5.0,-10.0,358.0,39.14294727334842
90,5.0,-10.0,362.0,36.8997522202812
91,5.0,-10.0,366.0,37.279691364380184
92,5.0,-10.0,370.0,37.798689581563856
93,5.0,-10.0,374.0,37.80390863372962
94,5.0,-10.0,378.0,35.93749649975771
95,5.0,-10.0,382.0,36.815702859612244
96,5.0,-10.0,386.0,37.46000789968009
97,5.0,-10.0,390.0,39.21632601614213
98,5.0,-10.0,394.0,39.34506016334297
99,5.0,-10.0,398.0,37.0827346220893
100,5.0,-10.0,402.0,36.74511178996658
101,5.0,-10.0,406.0,37.2817372285949
