,bw,loglambda,contam_data,IFsupnorm
0,5.0,-8.0,2.0,4253.73624002856
1,5.0,-8.0,6.0,1337.8703809685533
2,5.0,-8.0,10.0,757.2940286970642
3,5.0,-8.0,14.0,510.9780307044343
4,5.0,-8.0,18.0,376.6289924489463
5,5.0,-8.0,22.0,293.62074122074586
6,5.0,-8.0,26.0,238.45401878608286
7,5.0,-8.0,30.0,200.29255646814013
8,5.0,-8.0,34.0,173.98456053641098
9,5.0,-8.0,38.0,126.1817639264251
10,5.0,-8.0,42.0,117.53714785900371
11,5.0,-8.0,46.0,67.74824252708811
12,5.0,-8.0,50.0,13.830176981421971
13,5.0,-8.0,54.0,8.100077009132178
14,5.0,-8.0,58.0,12.319607189947845
15,5.0,-8.0,62.0,14.913099322111378
16,5.0,-8.0,66.0,18.783004862577002
17,5.0,-8.0,70.0,13.873633331051849
18,5.0,-8.0,74.0,8.892015529449182
19,5.0,-8.0,78.0,5.280471959689947
20,5.0,-8.0,82.0,5.278157544363893
21,5.0,-8.0,86.0,7.935638013378821
22,5.0,-8.0,90.0,10.71571951727357
23,5.0,-8.0,94.0,26.636183469985752
24,5.0,-8.0,98.0,75.5731022206163
25,5.0,-8.0,102.0,104.37670601159965
26,5.0,-8.0,106.0,128.31031352966704
27,5.0,-8.0,110.0,127.34726208551983
28,5.0,-8.0,114.0,127.7072216032682
29,5.0,-8.0,118.0,129.5150329427841
30,5.0,-8.0,122.0,130.5315496635817
31,5.0,-8.0,126.0,131.3335569685936
32,5.0,-8.0,130.0,132.11115134081908
33,5.0,-8.0,134.0,132.91554155636652
34,5.0,-8.0,138.0,133.6737153023737
35,5.0,-8.0,142.0,134.45905478470797
36,5.0,-8.0,146.0,135.20571566227878
37,5.0,-8.0,150.0,135.92920927174566
38,5.0,-8.0,154.0,136.6468069419202
39,5.0,-8.0,158.0,137.31266709782196
40,5.0,-8.0,162.0,137.9933777079234
41,5.0,-8.0,166.0,138.60956205591356
42,5.0,-8.0,170.0,139.249922526119
43,5.0,-8.0,174.0,139.8245332240311
44,5.0,-8.0,178.0,140.42222898358324
45,5.0,-8.0,182.0,140.96299178478765
46,5.0,-8.0,186.0,141.5160167272944
47,5.0,-8.0,190.0,142.0296162790713
48,5.0,-8.0,194.0,142.5363353901865
49,5.0,-8.0,198.0,143.0285233416928
50,5.0,-8.0,202.0,143.48744477032938
51,5.0,-8.0,206.0,143.96323045895443
52,5.0,-8.0,210.0,144.37300852598867
53,5.0,-8.0,214.0,144.83674964926863
54,5.0,-8.0,218.0,145.2347335340054
55,5.0,-8.0,222.0,145.65168428570806
56,5.0,-8.0,226.0,146.04428208997433
57,5.0,-8.0,230.0,146.4102999615413
58,5.0,-8.0,234.0,146.8005631943825
59,5.0,-8.0,238.0,147.13148183687073
60,5.0,-8.0,242.0,147.50520823114675
61,5.0,-8.0,246.0,147.83863517831008
62,5.0,-8.0,250.0,148.15966516423805
63,5.0,-8.0,254.0,148.4977931898168
64,5.0,-8.0,258.0,148.78135720652884
65,5.0,-8.0,262.0,149.11000985606825
66,5.0,-8.0,266.0,149.40189878021036
67,5.0,-8.0,270.0,149.6762404962215
68,5.0,-8.0,274.0,149.9780605096479
69,5.0,-8.0,278.0,150.22897863481433
70,5.0,-8.0,282.0,150.51054518822048
71,5.0,-8.0,286.0,150.7741718143052
72,5.0,-8.0,290.0,151.00000498313725
73,5.0,-8.0,294.0,151.27753195676164
74,5.0,-8.0,298.0,151.50703058242064
75,5.0,-8.0,302.0,151.73954515113053
76,5.0,-8.0,306.0,151.9851168252373
77,5.0,-8.0,310.0,152.18397858007825
78,5.0,-8.0,314.0,152.42320994257597
79,5.0,-8.0,318.0,152.64002095061178
80,5.0,-8.0,322.0,152.821661708602
81,5.0,-8.0,326.0,153.05716616342835
82,5.0,-8.0,330.0,153.24798787186288
83,5.0,-8.0,334.0,153.43568097181404
84,5.0,-8.0,338.0,153.64670485906728
