,bw,loglambda,contam_data,IFsupnorm
0,5.0,-8.0,2.0,42.555750499808994
1,5.0,-8.0,6.0,58.72271060285365
2,5.0,-8.0,10.0,48.48700741334413
3,5.0,-8.0,14.0,72.28758384868495
4,5.0,-8.0,18.0,61.23370272303461
5,5.0,-8.0,22.0,48.232634786400865
6,5.0,-8.0,26.0,49.390538788919706
7,5.0,-8.0,30.0,45.650186445262754
8,5.0,-8.0,34.0,44.968366382451386
9,5.0,-8.0,38.0,29.98820660180516
10,5.0,-8.0,42.0,37.91880574351499
11,5.0,-8.0,46.0,14.829529144177517
12,5.0,-8.0,50.0,9.464581267993166
13,5.0,-8.0,54.0,9.50840894581113
14,5.0,-8.0,58.0,7.077141131638509
15,5.0,-8.0,62.0,11.789935593629853
16,5.0,-8.0,66.0,16.6179038359477
17,5.0,-8.0,70.0,6.869833203291786
18,5.0,-8.0,74.0,5.491082428830738
19,5.0,-8.0,78.0,4.9624866535358025
20,5.0,-8.0,82.0,7.60249857450524
21,5.0,-8.0,86.0,5.832975369585869
22,5.0,-8.0,90.0,19.143217114403278
23,5.0,-8.0,94.0,11.786973922349453
24,5.0,-8.0,98.0,20.163711018535356
25,5.0,-8.0,102.0,31.2475307689395
26,5.0,-8.0,106.0,37.46510947162405
27,5.0,-8.0,110.0,36.66757197130427
28,5.0,-8.0,114.0,40.301263025073645
29,5.0,-8.0,118.0,45.0184896759847
30,5.0,-8.0,122.0,40.17087232515533
31,5.0,-8.0,126.0,45.05580689588823
32,5.0,-8.0,130.0,44.52662277966403
33,5.0,-8.0,134.0,44.20922598217809
34,5.0,-8.0,138.0,45.058116488024055
35,5.0,-8.0,142.0,48.45535418864359
36,5.0,-8.0,146.0,48.5311774643287
37,5.0,-8.0,150.0,50.574217749789696
38,5.0,-8.0,154.0,64.82020325477355
39,5.0,-8.0,158.0,54.42821082094273
40,5.0,-8.0,162.0,48.77847965940484
41,5.0,-8.0,166.0,48.12574810307183
42,5.0,-8.0,170.0,50.68387632225748
43,5.0,-8.0,174.0,49.20075469974819
44,5.0,-8.0,178.0,54.25625476630182
45,5.0,-8.0,182.0,48.75677319343492
46,5.0,-8.0,186.0,57.110900397010965
47,5.0,-8.0,190.0,61.117256098271056
48,5.0,-8.0,194.0,41.70639041667473
49,5.0,-8.0,198.0,62.22067480190796
50,5.0,-8.0,202.0,58.72225061721223
51,5.0,-8.0,206.0,46.93901001393842
52,5.0,-8.0,210.0,42.30861735301826
53,5.0,-8.0,214.0,53.60788923869144
54,5.0,-8.0,218.0,46.085652594659365
55,5.0,-8.0,222.0,59.34339677424267
56,5.0,-8.0,226.0,52.87221395485454
57,5.0,-8.0,230.0,50.98846333435095
58,5.0,-8.0,234.0,64.98658404587114
59,5.0,-8.0,238.0,53.16082968241299
60,5.0,-8.0,242.0,56.88007463071845
61,5.0,-8.0,246.0,58.57305783309538
62,5.0,-8.0,250.0,65.18464867656928
63,5.0,-8.0,254.0,52.18547568044609
64,5.0,-8.0,258.0,42.01305093674191
65,5.0,-8.0,262.0,50.8211330482763
66,5.0,-8.0,266.0,54.91532833868374
67,5.0,-8.0,270.0,54.79209724762084
68,5.0,-8.0,274.0,51.77816957237972
69,5.0,-8.0,278.0,63.46000557966396
70,5.0,-8.0,282.0,48.81604980616657
71,5.0,-8.0,286.0,47.71937998493957
72,5.0,-8.0,290.0,53.07096843859189
73,5.0,-8.0,294.0,49.93905782590812
74,5.0,-8.0,298.0,51.19534684020328
75,5.0,-8.0,302.0,55.4135499657103
76,5.0,-8.0,306.0,50.15091666169351
77,5.0,-8.0,310.0,59.62194859327137
78,5.0,-8.0,314.0,51.37490401126616
79,5.0,-8.0,318.0,48.260550590569004
80,5.0,-8.0,322.0,53.648003302817614
81,5.0,-8.0,326.0,47.983187921156556
82,5.0,-8.0,330.0,62.042452494650924
83,5.0,-8.0,334.0,62.2459176974715
84,5.0,-8.0,338.0,46.958150433576215
85,5.0,-8.0,342.0,56.40247849454436
86,5.0,-8.0,346.0,51.88032501770411
87,5.0,-8.0,350.0,53.8247247924855
88,5.0,-8.0,354.0,57.617521185117226
89,5.0,-8.0,358.0,53.03858204359268
90,5.0,-8.0,362.0,52.47516433800728
91,5.0,-8.0,366.0,52.59279650554127
92,5.0,-8.0,370.0,54.6168993814211
93,5.0,-8.0,374.0,50.20194938003066
94,5.0,-8.0,378.0,56.176233854351416
95,5.0,-8.0,382.0,54.08705714908609
96,5.0,-8.0,386.0,49.48951333441083
97,5.0,-8.0,390.0,43.88721259726764
98,5.0,-8.0,394.0,49.39673432277065
99,5.0,-8.0,398.0,56.42570307589851
100,5.0,-8.0,402.0,49.724740748643214
101,5.0,-8.0,406.0,49.83863564701616
0,5.0,-10.0,2.0,40.29281561640296
1,5.0,-10.0,6.0,58.16846469539575
2,5.0,-10.0,10.0,52.05710769006764
3,5.0,-10.0,14.0,82.70946551353984
4,5.0,-10.0,18.0,61.3419682608312
5,5.0,-10.0,22.0,81.07184169991406
6,5.0,-10.0,26.0,54.742577375230496
7,5.0,-10.0,30.0,56.09367970649055
8,5.0,-10.0,34.0,45.715524518242574
9,5.0,-10.0,38.0,32.94829296531105
10,5.0,-10.0,42.0,23.886960179445627
11,5.0,-10.0,46.0,8.623591456081192
12,5.0,-10.0,50.0,5.3250224880994566
13,5.0,-10.0,54.0,15.780475503753744
14,5.0,-10.0,58.0,10.56390495606819
15,5.0,-10.0,62.0,20.87438724314281
16,5.0,-10.0,66.0,8.917838207947426
17,5.0,-10.0,70.0,33.95127771097564
18,5.0,-10.0,74.0,35.30478657147182
19,5.0,-10.0,78.0,7.521582841557245
20,5.0,-10.0,82.0,20.333293294116817
21,5.0,-10.0,86.0,26.66226660234394
22,5.0,-10.0,90.0,40.20981116841904
23,5.0,-10.0,94.0,37.884750202241804
24,5.0,-10.0,98.0,34.62952066112725
25,5.0,-10.0,102.0,33.602682141042635
26,5.0,-10.0,106.0,46.12034109340357
27,5.0,-10.0,110.0,32.91680709383519
28,5.0,-10.0,114.0,54.202797113614366
29,5.0,-10.0,118.0,43.04437685425332
30,5.0,-10.0,122.0,43.27441686770109
31,5.0,-10.0,126.0,61.85423407765376
32,5.0,-10.0,130.0,70.68144147558995
33,5.0,-10.0,134.0,80.43233570610376
34,5.0,-10.0,138.0,76.03825825731718
35,5.0,-10.0,142.0,76.73946354621205
36,5.0,-10.0,146.0,50.078746148250765
37,5.0,-10.0,150.0,68.1907889756131
38,5.0,-10.0,154.0,56.9976059707282
39,5.0,-10.0,158.0,51.52995965302585
40,5.0,-10.0,162.0,69.92496211882045
41,5.0,-10.0,166.0,53.015651216437654
42,5.0,-10.0,170.0,49.98229502796799
43,5.0,-10.0,174.0,57.25396665606879
44,5.0,-10.0,178.0,67.86452597916548
45,5.0,-10.0,182.0,70.19338897462261
46,5.0,-10.0,186.0,53.20969745059018
47,5.0,-10.0,190.0,41.45321032732501
48,5.0,-10.0,194.0,72.35217933267381
49,5.0,-10.0,198.0,61.35995336678415
50,5.0,-10.0,202.0,70.29591618906987
51,5.0,-10.0,206.0,44.79994903030611
52,5.0,-10.0,210.0,64.12709944474292
53,5.0,-10.0,214.0,69.37894708461256
54,5.0,-10.0,218.0,79.47823061365085
55,5.0,-10.0,222.0,67.313689797689
56,5.0,-10.0,226.0,62.51798020176757
57,5.0,-10.0,230.0,77.55042850093325
58,5.0,-10.0,234.0,70.74952374902021
59,5.0,-10.0,238.0,44.88624460678022
60,5.0,-10.0,242.0,53.35688099382616
61,5.0,-10.0,246.0,43.3419027843287
62,5.0,-10.0,250.0,51.8446911844183
63,5.0,-10.0,254.0,65.6286299454854
64,5.0,-10.0,258.0,64.21545038477771
65,5.0,-10.0,262.0,53.99426190669452
66,5.0,-10.0,266.0,65.72108310276104
67,5.0,-10.0,270.0,67.68112992598765
68,5.0,-10.0,274.0,76.32517796173393
69,5.0,-10.0,278.0,53.32531456705895
70,5.0,-10.0,282.0,68.16303005388728
71,5.0,-10.0,286.0,75.85905572848604
72,5.0,-10.0,290.0,68.26818631703932
73,5.0,-10.0,294.0,69.08925757805598
74,5.0,-10.0,298.0,73.32302338190865
75,5.0,-10.0,302.0,67.92965928745365
76,5.0,-10.0,306.0,51.2413129952626
77,5.0,-10.0,310.0,64.02317142544273
78,5.0,-10.0,314.0,61.30359067612739
79,5.0,-10.0,318.0,84.40097405623214
80,5.0,-10.0,322.0,56.69328693840615
