,bw,loglambda,contam_data,IFsupnorm
0,5.0,-8.0,2.0,1942.2678038341858
1,5.0,-8.0,6.0,617.5806739637349
2,5.0,-8.0,10.0,358.9946785163289
3,5.0,-8.0,14.0,253.722870346801
4,5.0,-8.0,18.0,199.94335604128565
5,5.0,-8.0,22.0,169.4637868928702
6,5.0,-8.0,26.0,151.4858497234749
7,5.0,-8.0,30.0,142.98215148317354
8,5.0,-8.0,34.0,144.57665163332985
9,5.0,-8.0,38.0,115.35109380309649
10,5.0,-8.0,42.0,91.18879980071053
11,5.0,-8.0,46.0,50.74184686791172
12,5.0,-8.0,50.0,14.121969563441294
13,5.0,-8.0,54.0,8.174878655228646
14,5.0,-8.0,58.0,12.362438412980907
15,5.0,-8.0,62.0,14.964440368385834
16,5.0,-8.0,66.0,18.810326581858284
17,5.0,-8.0,70.0,13.794647377889035
18,5.0,-8.0,74.0,8.822424485212272
19,5.0,-8.0,78.0,5.302351727830756
20,5.0,-8.0,82.0,5.288792548729676
21,5.0,-8.0,86.0,7.936979735396421
22,5.0,-8.0,90.0,10.386294447000266
23,5.0,-8.0,94.0,26.032926692257305
24,5.0,-8.0,98.0,61.010409751220514
25,5.0,-8.0,102.0,96.68948821529447
26,5.0,-8.0,106.0,129.09077343164142
27,5.0,-8.0,110.0,125.5018736532207
28,5.0,-8.0,114.0,121.5924468129006
29,5.0,-8.0,118.0,121.50660771424624
30,5.0,-8.0,122.0,121.7549059911316
31,5.0,-8.0,126.0,121.9798496004087
32,5.0,-8.0,130.0,122.13841195794666
33,5.0,-8.0,134.0,122.32547455284642
34,5.0,-8.0,138.0,122.48397522794355
35,5.0,-8.0,142.0,122.66187401506534
36,5.0,-8.0,146.0,122.8261244446869
37,5.0,-8.0,150.0,122.98519329513888
38,5.0,-8.0,154.0,123.1541360026893
39,5.0,-8.0,158.0,123.28716075024097
40,5.0,-8.0,162.0,123.46161711089111
41,5.0,-8.0,166.0,123.58210829401186
42,5.0,-8.0,170.0,123.74552211688778
43,5.0,-8.0,174.0,123.87537395601417
44,5.0,-8.0,178.0,124.00426917359377
45,5.0,-8.0,182.0,124.14511956174377
46,5.0,-8.0,186.0,124.23729248097138
47,5.0,-8.0,190.0,124.3902110984174
48,5.0,-8.0,194.0,124.49649029976662
49,5.0,-8.0,198.0,124.60975531485379
50,5.0,-8.0,202.0,124.73130728799589
51,5.0,-8.0,206.0,124.80801348391712
52,5.0,-8.0,210.0,124.94088344498655
53,5.0,-8.0,214.0,125.03508762336487
54,5.0,-8.0,218.0,125.12450117212958
55,5.0,-8.0,222.0,125.23701491914537
56,5.0,-8.0,226.0,125.3074910065653
57,5.0,-8.0,230.0,125.41310752551149
58,5.0,-8.0,234.0,125.5035295181959
59,5.0,-8.0,238.0,125.56278696927829
60,5.0,-8.0,242.0,125.67372860252166
61,5.0,-8.0,246.0,125.74475746200899
62,5.0,-8.0,250.0,125.81754047387818
63,5.0,-8.0,254.0,125.91032700045778
64,5.0,-8.0,258.0,125.96422335636726
65,5.0,-8.0,262.0,126.04945585151054
66,5.0,-8.0,266.0,126.12615026393341
67,5.0,-8.0,270.0,126.16482521201631
68,5.0,-8.0,274.0,126.2615301998069
69,5.0,-8.0,278.0,126.32388521070126
70,5.0,-8.0,282.0,126.36996013395172
71,5.0,-8.0,286.0,126.4562576072874
72,5.0,-8.0,290.0,126.50577394406092
73,5.0,-8.0,294.0,126.56157009092234
74,5.0,-8.0,298.0,126.63573043034542
75,5.0,-8.0,302.0,126.67370220672078
76,5.0,-8.0,306.0,126.7384949339807
77,5.0,-8.0,310.0,126.8017170478519
78,5.0,-8.0,314.0,126.82926747517872
79,5.0,-8.0,318.0,126.90239409304007
80,5.0,-8.0,322.0,126.95572222964005
81,5.0,-8.0,326.0,126.97546921271146
82,5.0,-8.0,330.0,127.0546856266658
83,5.0,-8.0,334.0,127.09903449142384
84,5.0,-8.0,338.0,127.12591683944545
85,5.0,-8.0,342.0,127.19658856792724
86,5.0,-8.0,346.0,127.23276359551406
87,5.0,-8.0,350.0,127.26627538823493
88,5.0,-8.0,354.0,127.32915665753444
89,5.0,-8.0,358.0,127.35787050949068
90,5.0,-8.0,362.0,127.39754553405622
91,5.0,-8.0,366.0,127.45330544094769
92,5.0,-8.0,370.0,127.47519153507952
93,5.0,-8.0,374.0,127.5205995233003
94,5.0,-8.0,378.0,127.56983420413277
95,5.0,-8.0,382.0,127.58545788917807
96,5.0,-8.0,386.0,127.63620113676673
97,5.0,-8.0,390.0,127.67944385963862
98,5.0,-8.0,394.0,127.68931170662255
99,5.0,-8.0,398.0,127.74502204126155
100,5.0,-8.0,402.0,127.78275162919805
101,5.0,-8.0,406.0,127.787319205026
0,5.0,-10.0,2.0,3281.227796249554
1,5.0,-10.0,6.0,1314.1312016678178
2,5.0,-10.0,10.0,1034.6011993768973
3,5.0,-10.0,14.0,951.7533369382089
4,5.0,-10.0,18.0,918.3167571633682
5,5.0,-10.0,22.0,902.8472180000023
6,5.0,-10.0,26.0,898.3708162590048
7,5.0,-10.0,30.0,912.7957421045725
8,5.0,-10.0,34.0,853.6570008100506
9,5.0,-10.0,38.0,437.7197519313121
10,5.0,-10.0,42.0,332.82385146760515
11,5.0,-10.0,46.0,94.8876497630472
12,5.0,-10.0,50.0,17.779900222820167
13,5.0,-10.0,54.0,11.570361363214253
14,5.0,-10.0,58.0,16.182412932658558
15,5.0,-10.0,62.0,18.164901062052042
16,5.0,-10.0,66.0,27.332774875979847
17,5.0,-10.0,70.0,18.462026177335787
18,5.0,-10.0,74.0,10.581337658476302
19,5.0,-10.0,78.0,6.3955566516913365
20,5.0,-10.0,82.0,6.750530591325266
21,5.0,-10.0,86.0,9.386221537040251
22,5.0,-10.0,90.0,13.462909650648868
23,5.0,-10.0,94.0,37.188021874496876
24,5.0,-10.0,98.0,226.32060798777792
25,5.0,-10.0,102.0,383.72608887007834
26,5.0,-10.0,106.0,702.559421860747
27,5.0,-10.0,110.0,671.3812325976946
28,5.0,-10.0,114.0,679.2834012456276
29,5.0,-10.0,118.0,717.9545780686127
30,5.0,-10.0,122.0,761.6017434776168
31,5.0,-10.0,126.0,800.2248758776417
32,5.0,-10.0,130.0,831.0787588251151
33,5.0,-10.0,134.0,852.6049320284297
34,5.0,-10.0,138.0,866.1643971169791
35,5.0,-10.0,142.0,874.1388839692264
36,5.0,-10.0,146.0,878.2431319580473
37,5.0,-10.0,150.0,880.4676472086287
38,5.0,-10.0,154.0,881.649479834145
39,5.0,-10.0,158.0,882.0373307129403
40,5.0,-10.0,162.0,882.4542794023969
41,5.0,-10.0,166.0,882.6507594217054
42,5.0,-10.0,170.0,882.5430363753078
43,5.0,-10.0,174.0,882.8143921402759
44,5.0,-10.0,178.0,882.8710928098944
45,5.0,-10.0,182.0,882.7365848206136
46,5.0,-10.0,186.0,882.9896268140677
47,5.0,-10.0,190.0,883.0025383442724
48,5.0,-10.0,194.0,882.913923343435
49,5.0,-10.0,198.0,883.1326202943195
50,5.0,-10.0,202.0,883.1151612396466
51,5.0,-10.0,206.0,883.068903858051
52,5.0,-10.0,210.0,883.2596031967958
53,5.0,-10.0,214.0,883.2166708000696
54,5.0,-10.0,218.0,883.2071577242513
55,5.0,-10.0,222.0,883.3739948067954
56,5.0,-10.0,226.0,883.3092614790306
57,5.0,-10.0,230.0,883.3314579975789
58,5.0,-10.0,234.0,883.4777631728878
59,5.0,-10.0,238.0,883.3942476769759
60,5.0,-10.0,242.0,883.4438522898865
61,5.0,-10.0,246.0,883.572440096595
62,5.0,-10.0,250.0,883.4726992151395
63,5.0,-10.0,254.0,883.5460013386374
64,5.0,-10.0,258.0,883.6592678313975
65,5.0,-10.0,262.0,883.5454880028497
66,5.0,-10.0,266.0,883.6392662039541
67,5.0,-10.0,270.0,883.7392677848616
68,5.0,-10.0,274.0,883.6133332815702
69,5.0,-10.0,278.0,883.7247729431624
70,5.0,-10.0,282.0,883.813287508628
71,5.0,-10.0,286.0,883.676833563664
72,5.0,-10.0,290.0,883.8034612328671
73,5.0,-10.0,294.0,883.8820361788661
74,5.0,-10.0,298.0,883.7364909566021
75,5.0,-10.0,302.0,883.876121397672
76,5.0,-10.0,306.0,883.9461117287584
77,5.0,-10.0,310.0,883.7927298221393
78,5.0,-10.0,314.0,883.9434229489228
79,5.0,-10.0,318.0,884.0060218377653
80,5.0,-10.0,322.0,883.8459112631341
81,5.0,-10.0,326.0,884.0059368202833
82,5.0,-10.0,330.0,884.0622003414035
83,5.0,-10.0,334.0,883.8963444874379
84,5.0,-10.0,338.0,884.064152866746
85,5.0,-10.0,342.0,884.1150201863353
86,5.0,-10.0,346.0,883.9442958070388
87,5.0,-10.0,350.0,884.1184937638449
88,5.0,-10.0,354.0,884.1648037505269
89,5.0,-10.0,358.0,883.9899958273243
90,5.0,-10.0,362.0,884.1693261423835
91,5.0,-10.0,366.0,884.2118311332065
92,5.0,-10.0,370.0,884.033645237354
93,5.0,-10.0,374.0,884.2169695795769
94,5.0,-10.0,378.0,884.2563468657884
95,5.0,-10.0,382.0,884.0754195087666
96,5.0,-10.0,386.0,884.2617039130944
97,5.0,-10.0,390.0,884.2985653838534
98,5.0,-10.0,394.0,884.1154727360072
99,5.0,-10.0,398.0,884.3037752319532
100,5.0,-10.0,402.0,884.3386755190741
101,5.0,-10.0,406.0,884.1539407955311
0,5.0,-12.0,2.0,7255.616503956816
1,5.0,-12.0,6.0,5923.01350167135
2,5.0,-12.0,10.0,6691.584303918894
3,5.0,-12.0,14.0,7229.478355906201
4,5.0,-12.0,18.0,7622.739681332623
5,5.0,-12.0,22.0,7895.6207773170145
6,5.0,-12.0,26.0,7930.185271493029
7,5.0,-12.0,30.0,6068.130538503149
8,5.0,-12.0,34.0,7864.420244288526
9,5.0,-12.0,38.0,3047.676817001878
10,5.0,-12.0,42.0,1781.5092029991777
11,5.0,-12.0,46.0,99.91504733006323
12,5.0,-12.0,50.0,85.15224383840713
13,5.0,-12.0,54.0,57.47836442643228
14,5.0,-12.0,58.0,18.552269614038664
15,5.0,-12.0,62.0,20.33477965213606
16,5.0,-12.0,66.0,32.83699265524411
17,5.0,-12.0,70.0,22.91517805460288
18,5.0,-12.0,74.0,11.484661658867434
19,5.0,-12.0,78.0,7.464003826410681
20,5.0,-12.0,82.0,8.20698024724844
21,5.0,-12.0,86.0,13.725797157364195
22,5.0,-12.0,90.0,62.7168678153021
23,5.0,-12.0,94.0,248.0387838097219
24,5.0,-12.0,98.0,1468.7585199080359
25,5.0,-12.0,102.0,2593.5267638881883
26,5.0,-12.0,106.0,7307.065666956507
27,5.0,-12.0,110.0,8644.387905507348
28,5.0,-12.0,114.0,8519.712755808692
29,5.0,-12.0,118.0,6487.309176864836
30,5.0,-12.0,122.0,6487.8159905557395
31,5.0,-12.0,126.0,8408.151447555016
32,5.0,-12.0,130.0,8345.029058224163
33,5.0,-12.0,134.0,8280.63062562168
34,5.0,-12.0,138.0,8213.269423794238
35,5.0,-12.0,142.0,8143.38992899884
36,5.0,-12.0,146.0,8072.688900716493
37,5.0,-12.0,150.0,7971.200628508374
38,5.0,-12.0,154.0,6598.070766511943
39,5.0,-12.0,158.0,6597.017359315316
40,5.0,-12.0,162.0,7769.55893209542
41,5.0,-12.0,166.0,7689.30861511379
42,5.0,-12.0,170.0,7608.750539830355
43,5.0,-12.0,174.0,7526.09082552981
44,5.0,-12.0,178.0,7441.718338613681
45,5.0,-12.0,182.0,7357.232161773946
46,5.0,-12.0,186.0,6498.248404688161
47,5.0,-12.0,190.0,7182.853768107513
48,5.0,-12.0,194.0,7094.9380671238105
49,5.0,-12.0,198.0,7005.244481877758
50,5.0,-12.0,202.0,6914.110114869073
51,5.0,-12.0,206.0,6510.457386108102
52,5.0,-12.0,210.0,6730.582045780916
53,5.0,-12.0,214.0,6498.663244716768
54,5.0,-12.0,218.0,6510.497082502792
55,5.0,-12.0,222.0,6447.8539594562735
56,5.0,-12.0,226.0,6511.476391121748
57,5.0,-12.0,230.0,6255.393822917496
58,5.0,-12.0,234.0,6157.916741692686
59,5.0,-12.0,238.0,6059.205853533968
60,5.0,-12.0,242.0,6497.699952922005
61,5.0,-12.0,246.0,6510.902502353469
62,5.0,-12.0,250.0,5760.745057222634
63,5.0,-12.0,254.0,6497.782694955906
64,5.0,-12.0,258.0,6498.432923624054
65,5.0,-12.0,262.0,6498.931911358699
66,5.0,-12.0,266.0,6510.668180644907
67,5.0,-12.0,270.0,5251.615336923381
68,5.0,-12.0,274.0,6498.946758194514
69,5.0,-12.0,278.0,6510.712336269068
70,5.0,-12.0,282.0,6510.86260245618
71,5.0,-12.0,286.0,6511.606395585816
72,5.0,-12.0,290.0,6510.756562140888
73,5.0,-12.0,294.0,6510.843468410341
74,5.0,-12.0,298.0,6511.618469726702
75,5.0,-12.0,302.0,6510.800684222677
76,5.0,-12.0,306.0,6510.821716902833
77,5.0,-12.0,310.0,6511.629156918828
78,5.0,-12.0,314.0,6510.844555079313
79,5.0,-12.0,318.0,6510.797486970478
80,5.0,-12.0,322.0,6511.638456841764
81,5.0,-12.0,326.0,6510.888048982258
82,5.0,-12.0,330.0,6510.77089742987
83,5.0,-12.0,334.0,6511.64636922203
84,5.0,-12.0,338.0,6510.931058056415
85,5.0,-12.0,342.0,6510.742050424872
86,5.0,-12.0,346.0,6511.652893825012
87,5.0,-12.0,350.0,6510.973489219641
88,5.0,-12.0,354.0,6510.711034252597
89,5.0,-12.0,358.0,6511.658030448548
90,5.0,-12.0,362.0,6511.015261730948
91,5.0,-12.0,366.0,6510.677925632929
92,5.0,-12.0,370.0,6511.6617789177335
93,5.0,-12.0,374.0,6511.056305210711
94,5.0,-12.0,378.0,6510.6427915487075
95,5.0,-12.0,382.0,6511.664139080735
96,5.0,-12.0,386.0,6511.096558030184
97,5.0,-12.0,390.0,6510.605690739082
98,5.0,-12.0,394.0,6511.665110805335
99,5.0,-12.0,398.0,6511.135965992338
100,5.0,-12.0,402.0,6510.56667493456
101,5.0,-12.0,406.0,6511.6646939761085
0,7.0,-8.0,2.0,1889.2572728070654
1,7.0,-8.0,6.0,594.242486366125
2,7.0,-8.0,10.0,337.54458842041817
3,7.0,-8.0,14.0,228.78715867933124
4,7.0,-8.0,18.0,169.84936195795234
5,7.0,-8.0,22.0,133.86825174730578
6,7.0,-8.0,26.0,110.70727808540799
7,7.0,-8.0,30.0,97.07215793738645
8,7.0,-8.0,34.0,90.4318446155221
9,7.0,-8.0,38.0,87.99112083560716
10,7.0,-8.0,42.0,80.38318992910803
11,7.0,-8.0,46.0,29.32386538853473
12,7.0,-8.0,50.0,12.322250008886959
13,7.0,-8.0,54.0,5.015631525791947
14,7.0,-8.0,58.0,8.27044580154997
15,7.0,-8.0,62.0,10.433726387139618
16,7.0,-8.0,66.0,9.657782657199565
17,7.0,-8.0,70.0,8.597832677853434
18,7.0,-8.0,74.0,6.17380270283418
19,7.0,-8.0,78.0,3.894867320276013
20,7.0,-8.0,82.0,3.325376165324534
21,7.0,-8.0,86.0,5.133496690335187
22,7.0,-8.0,90.0,8.003107234121275
23,7.0,-8.0,94.0,19.12752873954903
24,7.0,-8.0,98.0,37.092459261834954
25,7.0,-8.0,102.0,53.687224687095544
26,7.0,-8.0,106.0,66.30280518667793
27,7.0,-8.0,110.0,70.5823448855674
28,7.0,-8.0,114.0,67.22504228697592
29,7.0,-8.0,118.0,65.53293164526345
30,7.0,-8.0,122.0,65.49160097370071
31,7.0,-8.0,126.0,65.78115958567936
32,7.0,-8.0,130.0,66.08407945473013
33,7.0,-8.0,134.0,66.38607450153124
34,7.0,-8.0,138.0,66.68165893083238
35,7.0,-8.0,142.0,66.96761561957705
36,7.0,-8.0,146.0,67.26023763025594
37,7.0,-8.0,150.0,67.54547660987082
38,7.0,-8.0,154.0,67.81624092717345
39,7.0,-8.0,158.0,68.09333236942504
40,7.0,-8.0,162.0,68.34948315115888
41,7.0,-8.0,166.0,68.60725340617951
42,7.0,-8.0,170.0,68.85045619888211
43,7.0,-8.0,174.0,69.0882263427223
44,7.0,-8.0,178.0,69.31804387764167
45,7.0,-8.0,182.0,69.53865084077657
46,7.0,-8.0,186.0,69.75497485903071
47,7.0,-8.0,190.0,69.9610079980028
48,7.0,-8.0,194.0,70.16378520865089
49,7.0,-8.0,198.0,70.35751108513881
50,7.0,-8.0,202.0,70.54667773437993
51,7.0,-8.0,206.0,70.73006432452074
52,7.0,-8.0,210.0,70.90553817973218
53,7.0,-8.0,214.0,71.08029735031562
54,7.0,-8.0,218.0,71.24198225204697
55,7.0,-8.0,222.0,71.4096095419279
56,7.0,-8.0,226.0,71.55777384277877
57,7.0,-8.0,230.0,71.71920921895514
58,7.0,-8.0,234.0,71.86245888238159
59,7.0,-8.0,238.0,72.01014582675765
60,7.0,-8.0,242.0,72.14954195958096
61,7.0,-8.0,246.0,72.28333602340584
62,7.0,-8.0,250.0,72.41982037931356
63,7.0,-8.0,254.0,72.53962576451184
64,7.0,-8.0,258.0,72.67399619516392
65,7.0,-8.0,262.0,72.79234177552512
66,7.0,-8.0,266.0,72.91269080553361
67,7.0,-8.0,270.0,73.03026946986508
68,7.0,-8.0,274.0,73.13645699081759
69,7.0,-8.0,278.0,73.25389089152773
70,7.0,-8.0,282.0,73.35654465204185
71,7.0,-8.0,286.0,73.463638022606
72,7.0,-8.0,290.0,73.56714487201153
73,7.0,-8.0,294.0,73.65989983638387
74,7.0,-8.0,298.0,73.76472991929019
75,7.0,-8.0,302.0,73.8557831279828
76,7.0,-8.0,306.0,73.94960714094934
77,7.0,-8.0,310.0,74.04276147066236
78,7.0,-8.0,314.0,74.12262693769507
79,7.0,-8.0,318.0,74.21767259759326
80,7.0,-8.0,322.0,74.30030996998764
81,7.0,-8.0,326.0,74.38074014239248
82,7.0,-8.0,330.0,74.46645627689985
83,7.0,-8.0,334.0,74.5395823211639
84,7.0,-8.0,338.0,74.62124487692245
85,7.0,-8.0,342.0,74.69798701156347
86,7.0,-8.0,346.0,74.76484224961595
87,7.0,-8.0,350.0,74.84543983207769
88,7.0,-8.0,354.0,74.91401853840651
89,7.0,-8.0,358.0,74.98207548199458
90,7.0,-8.0,362.0,75.0549461949094
91,7.0,-8.0,366.0,75.11607459606238
92,7.0,-8.0,370.0,75.18537147546141
93,7.0,-8.0,374.0,75.25117708576859
94,7.0,-8.0,378.0,75.3054854326249
95,7.0,-8.0,382.0,75.3760429503646
96,7.0,-8.0,386.0,75.43536990028
97,7.0,-8.0,390.0,75.49075760110946
98,7.0,-8.0,394.0,75.55524270181864
99,7.0,-8.0,398.0,75.60861280050737
100,7.0,-8.0,402.0,75.66517423351368
101,7.0,-8.0,406.0,75.72398723397563
0,7.0,-10.0,2.0,4102.1436702303245
1,7.0,-10.0,6.0,1339.6184542452818
2,7.0,-10.0,10.0,835.9774685432169
3,7.0,-10.0,14.0,647.4884777111138
4,7.0,-10.0,18.0,563.7128868458615
