,bw,loglambda,contam_data,IFnorm,IFnorm_lim
0,5.0,-8.0,50.0,47.876554689387824,293.0767458373677
1,5.0,-8.0,60.0,47.96233168162457,293.0767458373677
2,5.0,-8.0,70.0,47.74012930873867,293.0767458373677
3,5.0,-8.0,80.0,29.990770894201418,293.0767458373677
4,5.0,-8.0,90.0,40.80747861007992,293.0767458373677
5,5.0,-8.0,100.0,148.5698434220792,293.0767458373677
6,5.0,-8.0,110.0,203.85044535363144,293.0767458373677
7,5.0,-8.0,120.0,224.25569851369653,293.0767458373677
8,5.0,-8.0,130.0,228.11832546142068,293.0767458373677
9,5.0,-8.0,140.0,231.59850121582028,293.0767458373677
10,5.0,-8.0,150.0,234.78987185482822,293.0767458373677
11,5.0,-8.0,160.0,237.7103840745812,293.0767458373677
12,5.0,-8.0,170.0,240.38292795754504,293.0767458373677
13,5.0,-8.0,180.0,242.83128199131238,293.0767458373677
14,5.0,-8.0,190.0,245.07821260059916,293.0767458373677
15,5.0,-8.0,200.0,247.14466521644323,293.0767458373677
16,5.0,-8.0,210.0,249.04950449357491,293.0767458373677
17,5.0,-8.0,220.0,250.80952428785832,293.0767458373677
18,5.0,-8.0,230.0,252.439582371451,293.0767458373677
19,5.0,-8.0,240.0,253.9527847629289,293.0767458373677
20,5.0,-8.0,250.0,255.360681390782,293.0767458373677
21,5.0,-8.0,260.0,256.6734543639451,293.0767458373677
22,5.0,-8.0,270.0,257.90009049676314,293.0767458373677
23,5.0,-8.0,280.0,259.0485351763844,293.0767458373677
24,5.0,-8.0,290.0,260.125827433185,293.0767458373677
25,5.0,-8.0,300.0,261.13821740392046,293.0767458373677
26,5.0,-8.0,310.0,262.0912679315746,293.0767458373677
27,5.0,-8.0,320.0,262.98994219277415,293.0767458373677
28,5.0,-8.0,330.0,263.83867918529813,293.0767458373677
29,5.0,-8.0,340.0,264.64145875521456,293.0767458373677
30,5.0,-8.0,350.0,265.40185765512354,293.0767458373677
31,5.0,-8.0,360.0,266.12309793300545,293.0767458373677
32,5.0,-8.0,370.0,266.8080887705984,293.0767458373677
33,5.0,-8.0,380.0,267.45946272767384,293.0767458373677
34,5.0,-8.0,390.0,268.0796072060125,293.0767458373677
35,5.0,-8.0,400.0,268.6706918238387,293.0767458373677
36,5.0,-8.0,410.0,269.23469228637066,293.0767458373677
37,5.0,-8.0,420.0,269.77341124895275,293.0767458373677
38,5.0,-8.0,430.0,270.2884965938383,293.0767458373677
39,5.0,-8.0,440.0,270.7814574781205,293.0767458373677
